Production Budget,Domestic Gross
109000000,58183966
48000000,47095453
35000000,11405825
18000000,41300105
4000000,31273922
95000000,108638745
22000000,40270895
13000000,4919896
11000000,4814244
500000,1250798
70000000,78120196
17000000,37939782
160000,32092
70000000,33561137
65000000,139225854
32000000,81150692
42000000,35228696
40000000,54228104
15000000,673414
11000000,41227069
10000000,16033556
70702619,227969295
16000000,40363530
3000000,19184820
2000000,2512846
70000000,19076815
36000000,71026631
20000000,48430258
12000000,37188667
12000000,2326407
1200000,18492362
60000000,43061982
60000000,30063805
35000000,30307804
4500000,92723
1200000,13876974
1100000,247740
139000000,403706375
16000000,4839383
10000000,6044618
140000000,190418803
30000000,51432423
25000000,11411644
1500000,7025722
85000000,37948765
65000000,176387405
35000000,40119709
5000000,13649881
54000000,81676888
12000000,10198766
1500000,119841
50000000,8355815
48000000,95308367
26000000,36985501
22000000,75600072
40000000,6114237
78000000,92955420
14000000,25571351
12000000,378650
